,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
VirusGo,0.7857142857142857,0.051587301587301584,0.7845394736842106,0.7071293429652563,0.7414748993696362,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.8809523809523809,0.8730158730158729,0.8682539682539682,0.43731069564819336
Yahoo_Business,0.5862683905483728,0.023762817654926438,0.43475767681289157,0.12142084885858426,0.16881167965428615,0.889102810935695,0.6378453038674033,0.7428019945311244,0.8805914697577648,0.7473731648051755,0.7810912746044266,150.7214231491089
Yahoo_Arts,0.20307281229124916,0.05480191151533837,0.44994838901609424,0.10583716127540224,0.15970823962958353,0.7463087248322148,0.2224,0.34268104776579356,0.32381429525718103,0.2707971498552661,0.28279203910466433,96.79380393028259
Global,0.5250184961846358,0.043384010252522136,0.5564151798377321,0.31146245103308096,0.35666493955116857,0.8437482897004144,0.5677941862564547,0.6513899703279289,0.6951193819891089,0.6303953958921048,0.644045760654353,82.65084592501323
