,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
VirusGo,0.764730933023616,0.058965672990063216,0.8639804290662135,0.7391815463900087,0.7761607106223448,0.8952700355488264,0.804995835723771,0.8470248325893192,0.8520518776616336,0.8347786811201446,0.8345341334365722,0.46501524448394777
Global,0.764730933023616,0.058965672990063216,0.8639804290662135,0.7391815463900087,0.7761607106223448,0.8952700355488264,0.804995835723771,0.8470248325893192,0.8520518776616336,0.8347786811201446,0.8345341334365722,0.46501524448394777
