Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0990990990990991,0.3228228228228228,0.4746445440524388,0.400184753521086,0.41571289050471333,0.644,0.5609756097560976,0.5996275605214153,0.6501501501501502,0.5675675675675675,0.5757400257400257
2,0.15315315315315314,0.3228228228228228,0.47283501306457626,0.4144275941050252,0.43277937179274373,0.6417322834645669,0.5679442508710801,0.6025878003696857,0.6366366366366367,0.5690690690690691,0.5634920634920634
3,0.10810810810810811,0.28678678678678676,0.5478021650029518,0.43555087737175624,0.46536367960462294,0.6935483870967742,0.5993031358885017,0.6429906542056075,0.6846846846846847,0.5803303303303303,0.5957743457743457
4,0.14414414414414414,0.32732732732732733,0.4858530761449004,0.42129192175699,0.4417696235750927,0.6332046332046332,0.5714285714285714,0.6007326007326007,0.6321321321321322,0.5675675675675675,0.5619047619047618
5,0.12612612612612611,0.3123123123123123,0.4881987524124621,0.42317926205896444,0.44096253159572013,0.6536964980544747,0.5853658536585366,0.6176470588235294,0.6411411411411412,0.5825825825825824,0.574989274989275
6,0.12612612612612611,0.3183183183183183,0.4812994812994813,0.43096484838940397,0.44633082263111795,0.6436781609195402,0.5853658536585366,0.6131386861313869,0.647897897897898,0.5855855855855856,0.5773487773487774
1,0.12612612612612611,0.32432432432432434,0.4644873479694908,0.4659714431971161,0.4577966651906154,0.6021897810218978,0.6066176470588235,0.6043956043956044,0.6021021021021021,0.5942942942942943,0.5577720577720577
2,0.12612612612612611,0.3123123123123123,0.4821913992869875,0.4670893460748533,0.4625785710735033,0.6167883211678832,0.6213235294117647,0.6190476190476191,0.6186186186186186,0.5932432432432432,0.5699056199056198
3,0.13513513513513514,0.3063063063063063,0.5169146329860616,0.4638315037900959,0.4718587500241247,0.6287878787878788,0.6102941176470589,0.6194029850746269,0.6426426426426426,0.5987987987987988,0.5766909766909767
4,0.15315315315315314,0.3228228228228228,0.4457485650042838,0.45294666153879404,0.4372333873889744,0.6028880866425993,0.6139705882352942,0.6083788706739527,0.5990990990990991,0.5864864864864864,0.5613470613470612
5,0.18018018018018017,0.3003003003003003,0.5077042773240185,0.514330005841393,0.4971063171779731,0.625,0.6617647058823529,0.6428571428571429,0.6268768768768769,0.6506006006006007,0.606849706849707
6,0.12612612612612611,0.3213213213213213,0.4737296657793552,0.4383032840589776,0.43834848898215045,0.6124031007751938,0.5808823529411765,0.5962264150943396,0.5998498498498498,0.5822822822822822,0.5556485056485057
1,0.10810810810810811,0.31981981981981983,0.4417147667147667,0.4186721097591934,0.4089653810242046,0.609375,0.5799256505576208,0.5942857142857143,0.5990990990990992,0.5465465465465464,0.543114543114543
2,0.12612612612612611,0.31681681681681684,0.4788226899908543,0.44188883069654555,0.44791337694349104,0.6124031007751938,0.587360594795539,0.5996204933586338,0.5758258258258258,0.5833333333333334,0.5492277992277992
3,0.18018018018018017,0.2927927927927928,0.48426638176638176,0.4355193413638767,0.4420310554081064,0.648,0.6022304832713755,0.6242774566473989,0.6186186186186186,0.578078078078078,0.5662376662376662
4,0.0990990990990991,0.31681681681681684,0.48529878317112357,0.4551832088944889,0.4450581418547675,0.6090225563909775,0.6022304832713755,0.6056074766355141,0.6021021021021021,0.5765765765765766,0.5547404547404546
