,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
Foodtruck,0.05933955635852654,0.1814488607849042,0.06660625018571573,0.0336129786323702,0.036526380096988185,0.29678746286696944,0.09080657520505987,0.12109848421106631,0.1697689785539831,0.1161128860767524,0.12509472157093354,1.6312836567560831
CHD_49,0.02372372372372373,0.4041041041041041,0.10603928069616071,0.09011602054102273,0.08989877021698761,0.376640338360297,0.11873159925734414,0.15266537417027923,0.20095095095095095,0.1181981981981982,0.14014085514085514,0.9765710830688477
Water-quality,0.010062893081761008,0.33599505840071864,0.15480474346133963,0.1186076083133779,0.1274490417870916,0.45294876402861767,0.14290164906743966,0.1964089897684227,0.2877495133273436,0.14088131426574824,0.17411920724073887,3.6801104068756105
Birds,0.47958656330749344,0.049150006799945606,0.16867561980442866,0.06352867892341577,0.08819191318016621,0.7465478378976832,0.10091994065599633,0.17088984032447538,0.08447459086993972,0.05282945736434108,0.06170604158976252,8.050244196256001
Emotions,0.04635379575559038,0.2883911756793112,0.14846266647982337,0.10041119576493243,0.11440321361603217,0.510035043585681,0.10593439949671342,0.16250619814119208,0.16913545079048567,0.10787360141796833,0.1267862286157401,1.8230804681777955
Global,0.12381330644541903,0.25181784115379674,0.12891771212549363,0.0812552964350238,0.09129386377945317,0.4765918893478497,0.11185883273651069,0.16071377732308714,0.1824158968985406,0.10717909146460165,0.12556941083160603,3.2322579622268677
