Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.12612612612612611,0.29429429429429427,0.3519976328965093,0.3553921568627451,0.33268492360510254,0.7136150234741784,0.5296167247386759,0.608,0.7207207207207207,0.5352852852852853,0.590990990990991
2,0.018018018018018018,0.4219219219219219,0.10256410256410257,0.0784313725490196,0.08888888888888889,0.6153846153846154,0.05574912891986063,0.10223642172523961,0.14414414414414414,0.0683183183183183,0.08918918918918918
3,0.0,0.43093093093093093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.43093093093093093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.02702702702702703,0.4219219219219219,0.10833333333333334,0.06372549019607843,0.08024691358024691,0.65,0.04529616724738676,0.08469055374592833,0.11711711711711711,0.06231231231231231,0.07717717717717718
6,0.018018018018018018,0.4294294294294294,0.08730158730158731,0.05392156862745098,0.06666666666666667,0.5238095238095238,0.03832752613240418,0.07142857142857142,0.0990990990990991,0.0472972972972973,0.060660660660660656
1,0.02702702702702703,0.3483483483483483,0.2997581461242664,0.3200636306226368,0.2943883598089206,0.6030927835051546,0.43014705882352944,0.5021459227467812,0.6006006006006005,0.38678678678678674,0.4460960960960961
2,0.0,0.4084084084084084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.4084084084084084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.018018018018018018,0.4069069069069069,0.08974358974358974,0.043209876543209874,0.05833333333333333,0.5384615384615384,0.025735294117647058,0.04912280701754386,0.06306306306306306,0.038288288288288286,0.04564564564564565
5,0.0,0.4084084084084084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.4084084084084084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02702702702702703,0.3813813813813814,0.25736531986531985,0.31470760877540543,0.27478753963145724,0.5428571428571428,0.35315985130111527,0.42792792792792794,0.5105105105105104,0.3228228228228228,0.37460317460317455
2,0.036036036036036036,0.3138138138138138,0.12962962962962962,0.16091954022988506,0.1435897435897436,0.7777777777777778,0.31226765799256506,0.44562334217506633,0.7567567567567568,0.3145645645645646,0.4327327327327327
3,0.036036036036036036,0.3108108108108108,0.1303030303030303,0.16475095785440613,0.1455160744500846,0.7818181818181819,0.31970260223048325,0.45382585751978893,0.7747747747747747,0.32057057057057065,0.44174174174174174
4,0.009009009009009009,0.39039039039039036,0.2581699346405229,0.12193362193362194,0.12723112128146452,0.5818181818181818,0.11895910780669144,0.19753086419753085,0.27927927927927926,0.0975975975975976,0.13873873873873874
5,0.018018018018018018,0.3963963963963964,0.10526315789473684,0.05714285714285714,0.07407407407407407,0.631578947368421,0.04460966542750929,0.08333333333333333,0.10810810810810811,0.03528528528528528,0.05255255255255255
6,0.018018018018018018,0.4039039039039039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.45645645645645644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.45645645645645644,0.08333333333333333,0.043650793650793655,0.057291666666666664,0.5,0.03618421052631579,0.06748466257668712,0.0990990990990991,0.032282282282282276,0.04774774774774775
3,0.0,0.45495495495495497,0.08695652173913043,0.047619047619047616,0.06153846153846154,0.5217391304347826,0.039473684210526314,0.07339449541284404,0.10810810810810811,0.03528528528528528,0.05225225225225226
4,0.11711711711711711,0.2987987987987988,0.35681818181818176,0.34779411764705886,0.3263784146137087,0.7511961722488039,0.5164473684210527,0.6120857699805068,0.7432432432432432,0.5292792792792792,0.5975975975975976
5,0.02702702702702703,0.44594594594594594,0.13636363636363638,0.0375,0.05882352941176471,0.8181818181818182,0.029605263157894735,0.05714285714285714,0.08108108108108109,0.04954954954954954,0.05855855855855855
6,0.0,0.45645645645645644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009009009009009009,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.018018018018018018,0.44744744744744747,0.09722222222222222,0.03763440860215054,0.054263565891472874,0.5833333333333334,0.023333333333333334,0.04487179487179487,0.06306306306306306,0.026276276276276274,0.03513513513513514
3,0.02702702702702703,0.4519519519519519,0.07692307692307693,0.03225806451612903,0.04545454545454545,0.46153846153846156,0.02,0.038338658146964855,0.05405405405405406,0.03003003003003003,0.036036036036036036
4,0.11711711711711711,0.2882882882882883,0.42313198418861186,0.4228255028581857,0.4068052840230259,0.7030075187969925,0.6233333333333333,0.6607773851590106,0.7057057057057058,0.6141141141141142,0.626769626769627
5,0.009009009009009009,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.009009009009009009,0.45045045045045046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Promedio,0.02372372372372373,0.4041041041041041,0.10603928069616071,0.09011602054102273,0.08989877021698761,0.376640338360297,0.11873159925734414,0.15266537417027923,0.20095095095095095,0.1181981981981982,0.14014085514085514
