,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
VirusGo,0.7866240805265197,0.053581107239643815,0.8608164974096345,0.7637386427975953,0.7894051037405544,0.9033100961623837,0.8265960601419191,0.8625318434942714,0.8730449090205188,0.8536165956897663,0.8543018453994063,1.8632722536722819
Yahoo_Arts,0.22632802741549649,0.05214613318689117,0.4470744483620476,0.10504901933134468,0.1598771323995648,0.8324302045489553,0.22575314251405829,0.3551435478251305,0.3333604394760775,0.2802212463075365,0.2940932020465843,601.5675881465276
Yahoo_Business,0.6030111455217534,0.023221918328569884,0.45541322782219745,0.12164632044844731,0.17014758844905073,0.8943373234321472,0.6401205925113229,0.746114866108125,0.8852701902687128,0.7488829741165901,0.7859370019302199,770.4297937711079
Global,0.5386544178212564,0.04298305291836829,0.5877680578646265,0.33014466085912914,0.3731432748630566,0.876692541381162,0.5641565983891,0.6545967524758423,0.6972251795884364,0.6275736053712976,0.6447773497920701,457.95355139043596
