,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
Mediamill,0.16043000225992243,0.027975800039767122,0.5415633238001034,0.10544982005993168,0.1546052314154166,0.8256007406768132,0.44938125351825225,0.5818016640844347,0.7375383454955557,0.4768476230502003,0.543336698909177,42.58151284853617
Corel5K,0.0031666666666666675,0.009433689839572192,0.040072236020098115,0.004479134358095211,0.007569219890612902,0.4851429859431961,0.026621969490795892,0.050433236360025044,0.06894666666666667,0.026814444444444443,0.03648015873015874,22.134118008613587
Global,0.08179833446329456,0.018704744939669657,0.29081777991010077,0.05496447720901345,0.08108722565301475,0.6553718633100046,0.23800161150452406,0.31611745022222987,0.40324250608111123,0.25183103374732235,0.2899084288196679,32.35781542857488
