,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
Foodtruck,0.1060624309946803,0.1767305697748336,0.19001369881375044,0.08413381211559347,0.10361146737250032,0.5937473311230992,0.16015419892235047,0.22794217718318224,0.3066232560473753,0.2013251802231025,0.21979985542466723,3.217366600036621
CHD_49,0.05495495495495495,0.37337337337337334,0.20086482449721385,0.1859439190867987,0.1842752386981893,0.4545432950723442,0.258471222727375,0.2944406443892304,0.3444194194194194,0.2544594594594595,0.27236927403594074,0.9526210387547811
Water-quality,0.019811320754716987,0.27913297394429465,0.5827042536297097,0.4468904976077429,0.4929001663172669,0.6500279206550956,0.4937399649521958,0.5601022175554372,0.626527556562934,0.4889320427999673,0.5173665645397346,7.45536093711853
Birds,0.5387596899224805,0.038868489052087576,0.46041740460247055,0.20465036279509968,0.2675947426697241,0.8309472645462513,0.33887068551915966,0.4803507335138861,0.2395693367786391,0.17136950904392764,0.19115028095648254,14.777136437098186
Emotions,0.08490243555049136,0.2693483042934688,0.2663090055463451,0.1934243984321742,0.21698303794972124,0.6686069415772496,0.19445810153729312,0.28245017212776885,0.2463134406304894,0.1880956337337195,0.20267174666476756,1.6975778341293335
Global,0.1608981664354648,0.2274907420876116,0.3400618374178979,0.2230085980074818,0.2530729306014804,0.639574550594808,0.2891388347316748,0.369057188953901,0.35269060188777146,0.2608363650520352,0.2806715443243185,5.62001256942749
