,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
VirusGo,0.8333333333333334,0.031746031746031744,0.7907894736842106,0.774122807017544,0.7784664363611732,0.9056603773584906,0.9411764705882353,0.9230769230769231,0.9285714285714286,0.9523809523809523,0.9285714285714284,0.7338836193084717
Yahoo_Business,0.5983058403923317,0.023168375687323526,0.4160906457403089,0.1532208600937361,0.20326093874298098,0.8594349494244855,0.6806629834254143,0.759673192538924,0.8836825679893,0.7826087124348381,0.8015284017513173,285.3811583518982
Yahoo_Arts,0.25250501002004005,0.05426237089563743,0.4314254025209276,0.14296052680040988,0.19942129050323265,0.6816479400749064,0.2912,0.4080717488789238,0.3975283901135604,0.3557114228456914,0.35792855552374586,214.46895623207092
Global,0.5613813945819017,0.036392259442997565,0.5461018406484824,0.35676806463723,0.39371622186912897,0.8155810889526275,0.6376798180045499,0.696940621498257,0.7365941288914297,0.6969003625538273,0.6960094619488305,166.86133273442587
