,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
Foodtruck,0.051641071966275216,0.18280554719127443,0.042193110231153706,0.027393251182811027,0.028805182795797874,0.1911066165682144,0.07536737647551331,0.09853560018539091,0.13962745491652448,0.09616123777746784,0.1036562512398104,1.5975881814956665
CHD_49,0.034834834834834835,0.38148148148148153,0.15048262938490176,0.14909519095175866,0.1439253835777249,0.35023383611653786,0.2108713407584037,0.24849984621838792,0.3068318318318318,0.20703203203203202,0.23155512655512653,0.8861456950505574
Water-quality,0.009119496855345912,0.33936433063791543,0.18653759784022048,0.12015819452308339,0.13651987210717192,0.5212570316682997,0.13278326332751517,0.18602049518683741,0.29115172955974844,0.13035546389319974,0.1624640601464963,3.7553750117619833
Birds,0.4930232558139533,0.04728682170542634,0.25556466961062047,0.096619728711834,0.13296911293219768,0.780964552125075,0.14622042533660226,0.23936602740636567,0.12075366063738154,0.07707149009474593,0.08939994257823716,9.754858311017355
Emotions,0.07620946683758249,0.27983391096551613,0.192581808622412,0.14435735219348034,0.15957944719960046,0.5054806165710167,0.1496028516588028,0.21411676771511262,0.19331252274921268,0.151992435392236,0.16224880912817105,1.6241262276967368
Global,0.13296562526159833,0.24615441839632277,0.1654719631378617,0.10752474351259349,0.12035979972249858,0.4698085306098288,0.14296905151136746,0.1973077473424189,0.2103354399389398,0.1325225318379363,0.14986483792956828,3.5236186854044598
